Title	ItemNumber	ItemNumberLabel	GroupNumber	ItemCategory	CategoryName	ContosoDatabaseProductKey	ContosoProductID	html:About	UnitCost	UnitPrice	UnitPriceCurrency	UnitPriceLabel	Features	Brand	BrandLabel	Color	ColorLabel	Size	SizeUnit	SizeLabel	Weight	WeightUnit	WeightLabel	ScreenSize	ScreenSizeUnit	ScreenSizeLabel	Memory	MemoryUnit	MemoryLabel	HardDrive	HardDriveUnit	HardDriveLabel	Megapixels	MegapixelsUnit	MegapixelsLabel	Zoom	ZoomUnit	ZoomLabel	RefreshRate	RefreshRateUnit	RefreshRateLabel	NumberOfSpeakers	NumberOfSpeakersLabel	Storage	StorageUnit	StorageLabel	Volume	VolumeUnit	VolumeLabel	BTU	BTUUnit	BTULabel	Coverage	CoverageUnit	CoverageLabel	Campaign	OnSale	Discount	LanguageTag
Adventure Works Laptop19W X1980 Red	1010303	Item	10103	101	Laptops	380	301043	Extra powerful laptop with 750 GB hard drive and 4 GB RAM. 3 USB 2.0 ports. 19-inches widescreen LCD with perfect 16:9 aspect ratio. Software package included.	$430,38 	$1 299,00 	$	Price		Adventure Works	Brand	Red	Color				3,5	pounds	Weight	19	inches	Screen Size	4000	MB	Memory	320	GB	Storage																								FALSE	FALSE		
Adventure Works Laptop19W X1980 Blue	1010304	Item	10103	101	Laptops	386	301049	Extra powerful laptop with 750 GB hard drive and 4 GB RAM. 3 USB 2.0 ports. 19-inches widescreen LCD with perfect 16:9 aspect ratio. Software package included.	$430,38 	$1 299,00 	$	Price		Adventure Works	Brand	Blue	Color				3,5	pounds	Weight	19	inches	Screen Size	4000	MB	Memory	320	GB	Storage																								FALSE	FALSE		
Adventure Works Laptop15 M1501 Black	1010401	Item	10104	101	Laptops	369	301032	Laptop with 250 GB hard drive and 3 GB Ram. 15-inch screen with built in webcam and microphone for easy video chatting. 2 high-speed USB ports. 	$321,44 	$699,00 	$	Price		Adventure Works	Brand	Black	Color				3,5	pounds	Weight	15	inches	Screen Size	128	MB	Memory	60	GB	Storage																								FALSE	FALSE		
Adventure Works Laptop15 M1501 Silver	1010402	Item	10104	101	Laptops	375	301038	Laptop with 250 GB hard drive and 3 GB Ram. 15-inch screen with built in webcam and microphone for easy video chatting. 2 high-speed USB ports. 	$321,44 	$699,00 	$	Price		Adventure Works	Brand	Silver	Color				3,5	pounds	Weight	15	inches	Screen Size	128	MB	Memory	60	GB	Storage																								FALSE	FALSE		
Adventure Works Laptop15 M1501 Red	1010403	Item	10104	101	Laptops	381	301044	Laptop with 250 GB hard drive and 3 GB Ram. 15-inch screen with built in webcam and microphone for easy video chatting. 2 high-speed USB ports. 	$321,44 	$699,00 	$	Price		Adventure Works	Brand	Red	Color				3,5	pounds	Weight	15	inches	Screen Size	128	MB	Memory	60	GB	Storage																								FALSE	FALSE		
Adventure Works Laptop15 M1501 Blue	1010404	Item	10104	101	Laptops	387	301050	Laptop with 250 GB hard drive and 3 GB Ram. 15-inch screen with built in webcam and microphone for easy video chatting. 2 high-speed USB ports. 	$321,44 	$699,00 	$	Price		Adventure Works	Brand	Blue	Color				3,5	pounds	Weight	15	inches	Screen Size	128	MB	Memory	60	GB	Storage																								FALSE	FALSE		
Adventure Works Laptop12 M1201 Black	1010501	Item	10105	101	Laptops	370	301033	Laptop with 320 GB hard drive and 4 GB RAM. Built-in Wi-Fi networking, webcam and microphone. 2 high-speed USB ports. 12-inch screen. Long battery life.	$195,24 	$382,95 	$	Price		Adventure Works	Brand	Black	Color				2,7	pounds	Weight	12	inches	Screen Size	512	MB	Memory	80	GB	Storage																								FALSE	FALSE		
Adventure Works Laptop12 M1201 Silver	1010502	Item	10105	101	Laptops	376	301039	Laptop with 320 GB hard drive and 4 GB RAM. Built-in Wi-Fi networking, webcam and microphone. 2 high-speed USB ports. 12-inch screen. Long battery life.	$195,24 	$382,95 	$	Price		Adventure Works	Brand	Silver	Color				2,7	pounds	Weight	12	inches	Screen Size	512	MB	Memory	80	GB	Storage																								FALSE	FALSE		
Adventure Works Laptop12 M1201 Red	1010503	Item	10105	101	Laptops	382	301045	Laptop with 320 GB hard drive and 4 GB RAM. Built-in Wi-Fi networking, webcam and microphone. 2 high-speed USB ports. 12-inch screen. Long battery life.	$195,24 	$382,95 	$	Price		Adventure Works	Brand	Red	Color				2,7	pounds	Weight	12	inches	Screen Size	512	MB	Memory	80	GB	Storage																								FALSE	FALSE		
Adventure Works Laptop12 M1201 Blue	1010504	Item	10105	101	Laptops	388	301051	Laptop with 320 GB hard drive and 4 GB RAM. Built-in Wi-Fi networking, webcam and microphone. 2 high-speed USB ports. 12-inch screen. Long battery life.	$195,24 	$382,95 	$	Price		Adventure Works	Brand	Blue	Color				2,7	pounds	Weight	12	inches	Screen Size	512	MB	Memory	80	GB	Storage																								FALSE	FALSE		
Adventure Works Laptop16 M1601 Black	1010601	Item	10106	101	Laptops	371	301034	Powerful laptop with 640 GB hard drive for fast read/write and 6 GB RAM for excellent multitasking performance. 16-inch LCD screen. 3 high-speed USB ports. Software package included.	$275,46 	$599,00 	$	Price		Adventure Works	Brand	Black	Color				2,7	pounds	Weight	16	inches	Screen Size	2000	MB	Memory	180	GB	Storage																								FALSE	FALSE		
Adventure Works Laptop16 M1601 Silver	1010602	Item	10106	101	Laptops	377	301040	Powerful laptop with 640 GB hard drive for fast read/write and 6 GB RAM for excellent multitasking performance. 16-inch LCD screen. 3 high-speed USB ports. Software package included.	$275,46 	$599,00 	$	Price		Adventure Works	Brand	Silver	Color				2,7	pounds	Weight	16	inches	Screen Size	2000	MB	Memory	180	GB	Storage																								FALSE	FALSE		
Adventure Works Laptop16 M1601 Red	1010603	Item	10106	101	Laptops	383	301046	Powerful laptop with 640 GB hard drive for fast read/write and 6 GB RAM for excellent multitasking performance. 16-inch LCD screen. 3 high-speed USB ports. Software package included.	$275,46 	$599,00 	$	Price		Adventure Works	Brand	Red	Color				2,7	pounds	Weight	16	inches	Screen Size	2000	MB	Memory	180	GB	Storage																								FALSE	FALSE		
Adventure Works Laptop16 M1601 Blue	1010604	Item	10106	101	Laptops	389	301052	Powerful laptop with 640 GB hard drive for fast read/write and 6 GB RAM for excellent multitasking performance. 16-inch LCD screen. 3 high-speed USB ports. Software package included.	$275,46 	$599,00 	$	Price		Adventure Works	Brand	Blue	Color				2,7	pounds	Weight	16	inches	Screen Size	2000	MB	Memory	180	GB	Storage																								FALSE	FALSE		
WWI Laptop19W X0196 Black	1010701	Item	10107	101	Laptops	390	301053	Very powerfull laptop with 750 GB hard drive and 4 GB RAM. Fast read/write. 19-inches widescreen LCD with perfect 16:9 aspect ratio. Long battery life. Software package included. 	$430,38 	$1 299,00 	$	Price		Wide World Importers	Brand	Black	Color				2,7	pounds	Weight	19	inches	Screen Size	4000	MB	Memory	320	GB	Storage																								TRUE	TRUE	-30 %	
WWI Laptop19W X0196 White	1010702	Item	10107	101	Laptops	396	301059	Very powerfull laptop with 750 GB hard drive and 4 GB RAM. Fast read/write. 19-inches widescreen LCD with perfect 16:9 aspect ratio. Long battery life. Software package included. 	$430,38 	$1 299,00 	$	Price		Wide World Importers	Brand	White	Color				2,7	pounds	Weight	19	inches	Screen Size	4000	MB	Memory	320	GB	Storage																								FALSE	TRUE	-30 %	
WWI Laptop19W X0196 Blue	1010703	Item	10107	101	Laptops	402	301065	Very powerfull laptop with 750 GB hard drive and 4 GB RAM. Fast read/write. 19-inches widescreen LCD with perfect 16:9 aspect ratio. Long battery life. Software package included. 	$430,38 	$1 299,00 	$	Price		Wide World Importers	Brand	Blue	Color				2,7	pounds	Weight	19	inches	Screen Size	4000	MB	Memory	320	GB	Storage																								FALSE	TRUE	-30 %	
WWI Laptop15 M0150 Black	1010801	Item	10108	101	Laptops	391	301054	Laptop with 128 GB hard drive and 2 GB RAM. 15-inche LCD screen. Built-in webcam, microphone and DVD/CD-RW drive. 2 high-speed USB ports. Software package included.	$321,44 	$699,00 	$	Price		Wide World Importers	Brand	Black	Color				2,7	pounds	Weight	15	inches	Screen Size	128	MB	Memory	60	GB	Storage																								FALSE	FALSE		
WWI Laptop15 M0150 White	1010802	Item	10108	101	Laptops	397	301060	Laptop with 128 GB hard drive and 2 GB RAM. 15-inche LCD screen. Built-in webcam, microphone and DVD/CD-RW drive. 2 high-speed USB ports. Software package included.	$321,44 	$699,00 	$	Price		Wide World Importers	Brand	White	Color				2,7	pounds	Weight	15	inches	Screen Size	128	MB	Memory	60	GB	Storage																								FALSE	FALSE		
WWI Laptop15 M0150 Blue	1010803	Item	10108	101	Laptops	403	301066	Laptop with 128 GB hard drive and 2 GB RAM. 15-inche LCD screen. Built-in webcam, microphone and DVD/CD-RW drive. 2 high-speed USB ports. Software package included.	$321,44 	$699,00 	$	Price		Wide World Importers	Brand	Blue	Color				2,7	pounds	Weight	15	inches	Screen Size	128	MB	Memory	60	GB	Storage																								FALSE	FALSE		
WWI Laptop12 M0120 Black	1010901	Item	10109	101	Laptops	392	301055	Laptop with 250 GB hard drive and 4 GB RAM. 12-inch LCD screen with build in webcam and microphone for easy video chatting. 2 high-speed USB ports. 	$195,24 	$382,95 	$	Price		Wide World Importers	Brand	Black	Color				2,7	pounds	Weight	12	inches	Screen Size	512	MB	Memory	80	GB	Storage																								FALSE	FALSE		
WWI Laptop12 M0120 Silver	1010902	Item	10109	101	Laptops	398	301061	Laptop with 250 GB hard drive and 4 GB RAM. 12-inch LCD screen with build in webcam and microphone for easy video chatting. 2 high-speed USB ports. 	$195,24 	$382,95 	$	Price		Wide World Importers	Brand	Silver	Color				2,7	pounds	Weight	12	inches	Screen Size	512	MB	Memory	80	GB	Storage																								FALSE	FALSE		
WWI Laptop16 M0160 Black	1011001	Item	10110	101	Laptops	393	301056	Energy efficient laptop with 500 GB hard drive and 4 GB RAM. 16-inches LCD screen. 3 high-speed USB ports. Long battery life. 	$275,46 	$599,00 	$	Price		Wide World Importers	Brand	Black	Color				2,7	pounds	Weight	16	inches	Screen Size	2000	MB	Memory	180	GB	Storage																								FALSE	FALSE		
WWI Laptop16 M0160 Silver	1011002	Item	10110	101	Laptops	399	301062	Energy efficient laptop with 500 GB hard drive and 4 GB RAM. 16-inches LCD screen. 3 high-speed USB ports. Long battery life. 	$275,46 	$599,00 	$	Price		Wide World Importers	Brand	Silver	Color				2,7	pounds	Weight	16	inches	Screen Size	2000	MB	Memory	180	GB	Storage																								FALSE	FALSE		
WWI Laptop15.4W M0156 Black	1011101	Item	10111	101	Laptops	394	301057	Powerfull laptop with 750 GB hard drive and 4 GB RAM. 15.4-inch widescreen TFT LCD screen. 1280 x 800 resolutions for very clear images. 3 high-speed USB ports.	$348,58 	$758,00 	$	Price		Wide World Importers	Brand	Black	Color				2,7	pounds	Weight	15,4	inches	Screen Size	1000	MB	Memory	160	GB	Storage																								FALSE	FALSE		
WWI Laptop15.4W M0156 White	1011102	Item	10111	101	Laptops	400	301063	Powerfull laptop with 750 GB hard drive and 4 GB RAM. 15.4-inch widescreen TFT LCD screen. 1280 x 800 resolutions for very clear images. 3 high-speed USB ports.	$348,58 	$758,00 	$	Price		Wide World Importers	Brand	White	Color				2,7	pounds	Weight	15,4	inches	Screen Size	1000	MB	Memory	160	GB	Storage																								FALSE	FALSE		
WWI Laptop8.9 E0089 Black	1011201	Item	10112	101	Laptops	395	301058	2.2 pound lightweight laptop for comfortable travel. 640 GB hard drive and 4 GB RAM, built-in webcam and microphone for user friendly video chatting. Long battery life.	$166,20 	$326,00 	$	Price		Wide World Importers	Brand	Black	Color				2,2	pounds	Weight	8,9	inches	Screen Size	1000	MB	Memory	160	GB	Storage																								FALSE	FALSE		
WWI Laptop8.9 E0089 Silver	1011202	Item	10112	101	Laptops	401	301064	2.2 pound lightweight laptop for comfortable travel. 640 GB hard drive and 4 GB RAM, built-in webcam and microphone for user friendly video chatting. Long battery life.	$166,20 	$326,00 	$	Price		Wide World Importers	Brand	Silver	Color				2,2	pounds	Weight	8,9	inches	Screen Size	1000	MB	Memory	160	GB	Storage																								FALSE	FALSE		
Proseware Laptop19 X910 Black	1011301	Item	10113	101	Laptops	404	301067	Laptop for the power user. 750 GB hard drive and 8 GB RAM. 19 inch LED-backlit screen for excellent image and video viewing. 4 high-speed USB ports.  Extended battery life.	$430,38 	$1 299,00 	$	Price		Proseware	Brand	Black	Color				2,7	pounds	Weight	19	inches	Screen Size	4000	MB	Memory	320	GB	Storage																								FALSE	FALSE		
Proseware Laptop19W X910 White	1011302	Item	10113	101	Laptops	410	301073	Laptop for the power user. 750 GB hard drive and 8 GB RAM. 19 inch LED-backlit screen for excellent image and video viewing. 4 high-speed USB ports.  Extended battery life.	$430,38 	$1 299,00 	$	Price		Proseware	Brand	White	Color				2,7	pounds	Weight	19	inches	Screen Size	4000	MB	Memory	320	GB	Storage																								FALSE	FALSE		
Proseware Laptop15 M510 Black	1011401	Item	10114	101	Laptops	405	301068	Excellent all around laptop with 250 GB hard drive and 3 GB RAM. 15-inch LED screen with integrated webcam and microphone. DVD/CD-RW drive. 3 high-speed USB ports. Software package included.	$321,44 	$699,00 	$	Price		Proseware	Brand	Black	Color				2,7	pounds	Weight	15	inches	Screen Size	128	MB	Memory	60	GB	Storage																								FALSE	FALSE		
Proseware Laptop15 M510 White	1011402	Item	10114	101	Laptops	411	301074	Excellent all around laptop with 250 GB hard drive and 3 GB RAM. 15-inch LED screen with integrated webcam and microphone. DVD/CD-RW drive. 3 high-speed USB ports. Software package included.	$321,44 	$699,00 	$	Price		Proseware	Brand	White	Color				2,7	pounds	Weight	15	inches	Screen Size	128	MB	Memory	60	GB	Storage																								FALSE	FALSE		
Proseware Laptop12 M210 Black	1011501	Item	10115	101	Laptops	406	301069	Great all around laptop with 250 GB hard drive and 3 GB RAM. 12-inch LED screen. Built-in Wi-Fi networking, webcam and microphone. 3 high-speed USB ports. Software package included.	$195,24 	$382,95 	$	Price		Proseware	Brand	Black	Color				2,7	pounds	Weight	12	inches	Screen Size	512	MB	Memory	80	GB	Storage																								FALSE	FALSE		
Proseware Laptop12 M210 White	1011502	Item	10115	101	Laptops	412	301075	Great all around laptop with 250 GB hard drive and 3 GB RAM. 12-inch LED screen. Built-in Wi-Fi networking, webcam and microphone. 3 high-speed USB ports. Software package included.	$195,24 	$382,95 	$	Price		Proseware	Brand	White	Color				2,7	pounds	Weight	12	inches	Screen Size	512	MB	Memory	80	GB	Storage																								FALSE	FALSE		
Proseware Laptop16 M610 Black	1011601	Item	10116	101	Laptops	407	301070	Excellent all around laptop with 250 GB hard drive and 3 GB RAM. 16-inch LED screen with integrated webcam and microphone. DVD/CD-RW drive. 3 high-speed USB ports. Software package included.	$275,46 	$599,00 	$	Price		Proseware	Brand	Black	Color				2,7	pounds	Weight	16	inches	Screen Size	2000	MB	Memory	180	GB	Storage																								FALSE	FALSE		
Proseware Laptop16 M610 Grey	1011602	Item	10116	101	Laptops	413	301076	Excellent all around laptop with 250 GB hard drive and 3 GB RAM. 16-inch LED screen with integrated webcam and microphone. DVD/CD-RW drive. 3 high-speed USB ports. Software package included.	$275,46 	$599,00 	$	Price		Proseware	Brand	Grey	Color				2,7	pounds	Weight	16	inches	Screen Size	2000	MB	Memory	180	GB	Storage																								FALSE	FALSE		
Proseware Laptop15.4W M518 Black	1011701	Item	10117	101	Laptops	408	301071	Great laptop for all around use. 320 GB hard drive and 3 GB RAM. 15.4-inch widescreen RFT LCD display. 1280 x 800 resolutions for very clear images. Long battery life.	$348,58 	$758,00 	$	Price		Proseware	Brand	Black	Color				2,7	pounds	Weight	15,4	inches	Screen Size	1000	MB	Memory	160	GB	Storage																								FALSE	FALSE		
Proseware Laptop15.4W M518 Grey	1011702	Item	10117	101	Laptops	414	301077	Great laptop for all around use. 320 GB hard drive and 3 GB RAM. 15.4-inch widescreen RFT LCD display. 1280 x 800 resolutions for very clear images. Long battery life.	$348,58 	$758,00 	$	Price		Proseware	Brand	Grey	Color				2,7	pounds	Weight	15,4	inches	Screen Size	1000	MB	Memory	160	GB	Storage																								FALSE	FALSE		
Proseware Laptop8.9 E089 Black	1011801	Item	10118	101	Laptops	409	301072	Lightweight and travel friendly laptop. 320 GB hard drive and 4 GB RAM. 2.2 pounds with an 8.9-inch LCD display. Integrated webcam and microphone for easy communication.	$166,20 	$326,00 	$	Price		Proseware	Brand	Black	Color				2,2	pounds	Weight	8,9	inches	Screen Size	1000	MB	Memory	160	GB	Storage																								FALSE	FALSE		
Proseware Laptop8.9 E089 Grey	1011802	Item	10118	101	Laptops	415	301078	Lightweight and travel friendly laptop. 320 GB hard drive and 4 GB RAM. 2.2 pounds with an 8.9-inch LCD display. Integrated webcam and microphone for easy communication.	$166,20 	$326,00 	$	Price		Proseware	Brand	Grey	Color				2,2	pounds	Weight	8,9	inches	Screen Size	1000	MB	Memory	160	GB	Storage																								FALSE	FALSE		
Fabrikam Laptop16 M6000 Black	1011901	Item	10119	101	Laptops	342	301005	High standard laptop for all around use. 320 GB hard drive and 4 GB RAM. 16-inch high definition LCD screen with built in webcam and microphone. 3 high-speed USB ports.	$275,46 	$599,00 	$	Price		Fabrikam	Brand	Black	Color				3,2	pounds	Weight	16	inches	Screen Size	2000	MB	Memory	180	GB	Storage																								FALSE	FALSE		
Fabrikam Laptop19 M9000 Black	1012001	Item	10120	101	Laptops	343	301006	Excellent laptop for demanding users. 750 GB hard drive and 4 GB RAM. 19-inch high definition LCD screen for excellent video and image viewing. 4 high-speed USB ports. 	$364,12 	$1 099,00 	$	Price		Fabrikam	Brand	Black	Color				3,2	pounds	Weight	19	inches	Screen Size	4000	MB	Memory	320	GB	Storage																								FALSE	FALSE		
Fabrikam Laptop12 M2000 Black	1012101	Item	10121	101	Laptops	344	301007	Great laptop for all around users. 250 GB hard drive and 4 GB RAM. 12-inch LED screen with built-in webcam and microphone. Good battery life. 2 high-speed USB ports.	$186,60 	$366,00 	$	Price		Fabrikam	Brand	Black	Color				3,2	pounds	Weight	12	inches	Screen Size	512	MB	Memory	60	GB	Storage																								FALSE	FALSE		
Fabrikam Laptop15 M5000 Black	1012201	Item	10122	101	Laptops	345	301008	Great all around laptop with 250 GB hard drive and 4 GB RAM. 12-inch LED screen with built-in webcam and microphone. Good battery life. 2 high-speed USB ports.	$321,44 	$699,00 	$	Price		Fabrikam	Brand	Black	Color				3,8	pounds	Weight	15	inches	Screen Size	128	MB	Memory	60	GB	Storage																								FALSE	FALSE		
WWI Tablet X200 Black	1020101	Item	10201	102	Tablets			"Tablet with 8.9"" high definition LED screen. 32 GB storage and 1 GB memory. Integrated webcam and wireless LAN. Easy connection with mobile devises with Bluetooth. "	$275,46 	$599,00 	$	Price		WWI	Brand	Black	Color				1,5	pounds	Weight	8,9	inches	Screen Size	512	MB	Memory	64	GB	Storage																								FALSE	FALSE		
WWI Tablet X200 White	1020102	Item	10201	102	Tablets			"Tablet with 8.9"" high definition LED screen. 32 GB storage and 1 GB memory. Integrated webcam and wireless LAN. Easy connection with mobile devises with Bluetooth. "	$275,46 	$599,00 	$	Price		WWI	Brand	White	Color				1,5	pounds	Weight	8,9	inches	Screen Size	512	MB	Memory	64	GB	Storage																								FALSE	FALSE		
WWI Tablet X100 Black	1020201	Item	10202	102	Tablets			Tablet with 7.5 high definition LED screen. 8 GB storage and 1 GB memory. Easy connection with other devised with Bluetooth or USB 2.0 port. Extended battery life.	$186,60 	$366,00 	$	Price		WWI	Brand	Black	Color				1,5	pounds	Weight	7,5	inches	Screen Size	256	MB	Memory	32	GB	Storage																								FALSE	FALSE		
WWI Tablet X100 White	1020202	Item	10202	102	Tablets			Tablet with 7.5 high definition LED screen. 8 GB storage and 1 GB memory. Easy connection with other devised with Bluetooth or USB 2.0 port. Extended battery life.	$186,60 	$366,00 	$	Price		WWI	Brand	White	Color				1,5	pounds	Weight	7,5	inches	Screen Size	256	MB	Memory	32	GB	Storage																								FALSE	FALSE		
Proseware Tablet M500 Black	1020301	Item	10203	102	Tablets			"9.7"" tablet with high definition LED screen. 32 GB storage and 1 GB memory. Extended battery life makes this tablet well suited for travelling. Software package included. "	$275,46 	$599,00 	$	Price		Proseware	Brand	Black	Color				1,3	pounds	Weight	9,7	inches	Screen Size	512	MB	Memory	64	GB	Storage																								FALSE	FALSE		
Proseware Tablet M500 Silver	1020302	Item	10203	102	Tablets			"9.7"" tablet with high definition LED screen. 32 GB storage and 1 GB memory. Extended battery life makes this tablet well suited for travelling. Software package included. "	$275,46 	$599,00 	$	Price		Proseware	Brand	Silver	Color				1,3	pounds	Weight	9,7	inches	Screen Size	512	MB	Memory	64	GB	Storage																								FALSE	FALSE		
Proseware Tablet M300 Black	1020401	Item	10204	102	Tablets			"8.9"" tablet with high definition LED screen with integrated webcam and microphone. 16 GB storage and 1 GB memory. Media player for most common audio and video file types."	$195,24 	$382,95 	$	Price		Proseware	Brand	Black	Color				1,3	pounds	Weight	8,9	inches	Screen Size	256	MB	Memory	32	GB	Storage																								FALSE	FALSE		
Proseware Tablet M300 Silver	1020402	Item	10204	102	Tablets			"8.9"" tablet with high definition LED screen with integrated webcam and microphone. 16 GB storage and 1 GB memory. Media player for most common audio and video file types."	$195,24 	$382,95 	$	Price		Proseware	Brand	Silver	Color				1,3	pounds	Weight	8,9	inches	Screen Size	256	MB	Memory	32	GB	Storage																								FALSE	FALSE		
Fabrikam Tablet M50 Black	1020501	Item	10205	102	Tablets			"Tablet with 8 GB storage and 1 GB memory. 5"" high definition LED screen with build in webcam and microphone. 1 USB 2.0 port. Software package included. "	$50,47 	$99,00 	$	Price		Fabrikam	Brand	Black	Color				1,3	pounds	Weight	7,5	inches	Screen Size	256	MB	Memory	32	GB	Storage																								FALSE	FALSE		
Fabrikam Tablet M100 Black	1020601	Item	10206	102	Tablets			"Tablet with 8 GB storage and 1 GB memory. 5"" high definition LED screen with build in webcam and microphone. 1 USB 2.0 port. Software package included. "	$73,12 	$159,00 	$	Price		Fabrikam	Brand	Black	Color				1,3	pounds	Weight	6	inches	Screen Size	256	MB	Memory	32	GB	Storage																								FALSE	FALSE		
Fabrikam Tablet M150 Black	1020701	Item	10207	102	Tablets			"Tablet with 16 GB storage and 1 GB memory. 6"" high definition LED screen with build in webcam and microphone. 1 USB 2.0 port. Software package included. "	$75,54 	$228,00 	$	Price		Fabrikam	Brand	Black	Color				1,5	pounds	Weight	5,5	inches	Screen Size	256	MB	Memory	32	GB	Storage																								FALSE	FALSE		
Fabrikam Tablet M200 Black	1020801	Item	10208	102	Tablets			"Tablet with 32 GB storage and 1 GB memory. 7.5"" high definition LED screen with build in webcam and microphone. 2 USB 2.0 port. Software package included. "	$186,60 	$366,00 	$	Price		Fabrikam	Brand	Black	Color				1,5	pounds	Weight	5	inches	Screen Size	256	MB	Memory	32	GB	Storage																								FALSE	FALSE		
